Year,Make,Model,Engine,code,Master Make,Cyclinders,Size,Fuel Type
2015,Audi,Audi,A7 Premium Plus Quattro,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34889601
2015,Audi,Audi,A7 Premium Plus Quattro TDI,6 Cylinders 3.0L Turbo Dsl DOHC,"","","",3.0,6,Diesel,Diesel,34851301
2015,Audi,Audi,A7 Prestige Quattro,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34889701
2015,Audi,Audi,A7 Prestige Quattro TDI,6 Cylinders 3.0L Turbo Dsl DOHC,"","","",3.0,6,Diesel,Diesel,34851401
2015,Audi,Audi,A8 L Quattro,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34852402
2015,Audi,Audi,A8 L Quattro,8 Cylinders 4.0L FI Turbo DOHC,"","","",4.0,8,,,34852401
2015,Audi,Audi,A8 L TDI Quattro,6 Cylinders M 3.0L Turbo Dsl DOHC,M,"","",3.0,6,Diesel,Diesel,34852301
2015,Audi,Audi,A8 L W12 Quattro,12 Cylinders 6.3L DI DOHC,"","","",6.3,12,,,34852101
2015,Audi,Audi,A8 Quattro,6 Cylinders G 3.0L FI SC DOHC,G,"","",3.0,6,,,34852201
2015,Audi,Audi,A8 Quattro,8 Cylinders 4.0L FI Turbo DOHC,"","","",4.0,8,,,34852202
2015,Audi,Audi,Allroad Premium Plus Quattro,4 Cylinders 2.0L Turbo FFV DOHC,"","","",2.0,4,Flex,Flex,34889801
2015,Audi,Audi,Allroad Premium Quattro,4 Cylinders 2.0L Turbo FFV DOHC,"","","",2.0,4,Flex,Flex,34801101
2015,Audi,Audi,Allroad Prestige Quattro,4 Cylinders 2.0L Turbo FFV DOHC,"","","",2.0,4,Flex,Flex,34889901
2015,Audi,Audi,Q3 Premium Plus,4 Cylinders F 2.0L FI Turbo DOHC,F,"","",2.0,4,,,34890001
2015,Audi,Audi,Q3 Premium Plus Quattro,4 Cylinders F 2.0L FI Turbo DOHC,F,"","",2.0,4,,,34890201
2015,Audi,Audi,Q3 Prestige,4 Cylinders F 2.0L FI Turbo DOHC,F,"","",2.0,4,,,34890101
2015,Audi,Audi,Q3 Prestige Quattro,4 Cylinders F 2.0L FI Turbo DOHC,F,"","",2.0,4,,,34890301
2015,Audi,Audi,Q5 Hybrid Prestige AWD,4 Cylinders 2.0L MFI Turbo HEV,"","","",2.0,4,Hybrid,Hybrid,34852501
2015,Audi,Audi,Q5 Premium AWD,4 Cylinders 2.0L Turbo FFV DOHC,"","","",2.0,4,Flex,Flex,34852601
2015,Audi,Audi,Q5 Premium Plus AWD,4 Cylinders 2.0L Turbo FFV DOHC,"","","",2.0,4,Flex,Flex,34852701
2015,Audi,Audi,Q5 Premium Plus AWD,6 Cylinders G 3.0L FI SC DOHC,G,"","",3.0,6,,,34852702
2015,Audi,Audi,Q5 Premium Plus TDI AWD,6 Cylinders 3.0L Turbo Dsl DOHC,"","","",3.0,6,Diesel,Diesel,34852901
2015,Audi,Audi,Q5 Prestige AWD,6 Cylinders G 3.0L FI SC DOHC,G,"","",3.0,6,,,34852801
2015,Audi,Audi,Q5 Prestige TDI AWD,6 Cylinders 3.0L Turbo Dsl DOHC,"","","",3.0,6,Diesel,Diesel,34853001
2015,Audi,Audi,Q7 Premium AWD,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34890401
2015,Audi,Audi,Q7 Premium Plus AWD,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34890501
2015,Audi,Audi,Q7 Prestige AWD,6 Cylinders 3.0L FI SC DOHC,"","","",3.0,6,,,34890601
