Am General,Hummer 2 Pass H/T Enlrgd,6.5L 395CI V8 Diesel VIN: Y,advance auto,6.5,8,Diesel,Y,,,Hummer 2 Pass H/T Enlrgd,6.5L 395CI V8 Diesel VIN: Y,,,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV
Am General,Hummer 2 Pass H/T Enlrgd,5.7L 350CI V8 FI VIN: D,advance auto,5.7,8,,D,,,Hummer 2 Pass H/T Enlrgd,5.7L 350CI V8 FI VIN: D,,,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV
Am General,Hummer 4 Pass Open Top,6.5L 395CI V8 Diesel VIN: Y,advance auto,6.5,8,Diesel,Y,,,Hummer 4 Pass Open Top,6.5L 395CI V8 Diesel VIN: Y,,,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV
Am General,Hummer 4 Pass Open Top,5.7L 350CI V8 FI VIN: D,advance auto,5.7,8,,D,,,Hummer 4 Pass Open Top,5.7L 350CI V8 FI VIN: D,,,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV
Am General,Hummer 2 Pass Hardtop,6.5L 395CI V8 Diesel VIN: Y,advance auto,6.5,8,Diesel,Y,,,Hummer 2 Pass Hardtop,6.5L 395CI V8 Diesel VIN: Y,,,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV
Am General,Hummer 2 Pass Hardtop,5.7L 350CI V8 FI VIN: D,advance auto,5.7,8,,D,,,Hummer 2 Pass Hardtop,5.7L 350CI V8 FI VIN: D,,,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV
Am General,Hummer 4 Pass Hardtop,6.5L 395CI V8 Diesel VIN: Y,advance auto,6.5,8,Diesel,Y,,,Hummer 4 Pass Hardtop,6.5L 395CI V8 Diesel VIN: Y,,,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV
Am General,Hummer 4 Pass Hardtop,5.7L 350CI V8 FI VIN: D,advance auto,5.7,8,,D,,,Hummer 4 Pass Hardtop,5.7L 350CI V8 FI VIN: D,,,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV
Am General,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV,"",6.5,8,Diesel,Y,,,Hummer 4 Pass Wagon,6.5L 395CI V8 Diesel VIN: Y,,,Hummer,V8 - 6.5L 395ci DIESEL MFI vin Y - 2 valve OHV
Am General,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV,"",5.7,8,Gas,D,,,Hummer 4 Pass Wagon,5.7L 350CI V8 FI VIN: D,,,Hummer,V8 - 5.7L 350ci GAS TBI vin D - 2 valve OHV
Acura,Integra Special Edition,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC,"",1.8,4,Gas,B18B1,Integra,4 Cylinders 1.8L MFI DOHC VTEC,Integra Special Edition,1.8L 1834CC L4 FI VIN: B18B1,INTEGRA,4-1797 1.8L VTEC,Integra Special Edition,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC
Acura,Integra GS-R,L4 - 1.8L 1797cc GAS MFI type B18C1 - 4 valve DOHC,"",1.8,4,Gas,B18C1,Integra,4 Cylinders 1.8L MFI DOHC,Integra GSR,1.8L 1797CC L4 FI VIN: B18C1,INTEGRA,4-1835 1.8L DOHC,Integra GS-R,L4 - 1.8L 1797cc GAS MFI type B18C1 - 4 valve DOHC
Acura,Integra LS,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC,"",1.8,4,Gas,B18B1,Integra,4 Cylinders 1.8L MFI DOHC VTEC,Integra LS,1.8L 1834CC L4 FI VIN: B18B1,INTEGRA,4-1797 1.8L VTEC,Integra LS,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC
Acura,Integra RS,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC,"",1.8,4,Gas,B18B1,Integra,4 Cylinders 1.8L MFI DOHC VTEC,Integra RS,1.8L 1834CC L4 FI VIN: B18B1,INTEGRA,4-1797 1.8L VTEC,Integra RS,L4 - 1.8L 1834cc GAS MFI type B18B1 - 4 valve DOHC
Acura,TL Premium,L5 - 2.5L 2451cc GAS MFI type G25A4 - 4 valve SOHC,"",2.5,5,Gas,G25A4,TL,5 Cylinders 2.5L MFI SOHC,TL,2.5L 2451CC L5 FI VIN: G25A4,,,TL Premium,L5 - 2.5L 2451cc GAS MFI type G25A4 - 4 valve SOHC
Acura,Legend GS,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC,"",3.2,6,Gas,C32A1,Legend,6 Cylinders 3.2L MFI SOHC,Legend GS,3.2L 3206CC V6 FI VIN: C32A1,LEGEND,V6-3206 3.2L SOHC,Legend GS,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC
Acura,Legend LS,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC,"",3.2,6,Gas,C32A1,Legend,6 Cylinders 3.2L MFI SOHC,Legend LS,3.2L 3206CC V6 FI VIN: C32A1,LEGEND,V6-3206 3.2L SOHC,Legend LS,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC
Acura,Legend SE,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC,"",3.2,6,Gas,C32A1,Legend,6 Cylinders 3.2L MFI SOHC,Legend SE,3.2L 3206CC V6 FI VIN: C32A1,LEGEND,V6-3206 3.2L SOHC,Legend SE,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC
Acura,Legend L,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC,"",3.2,6,Gas,C32A1,Legend,6 Cylinders 3.2L MFI SOHC,Legend L,3.2L 3206CC V6 FI VIN: C32A1,LEGEND,V6-3206 3.2L SOHC,Legend L,V6 - 3.2L 3206cc GAS MFI type C32A1 - 4 valve SOHC
Acura,2.5TL,5-2451 2.5L SOHC,pepboys,2.5,5,,,,,,,2.5TL,5-2451 2.5L SOHC,,
Acura,NSX T,V6 - 3.0L 2977cc GAS MFI type C30A1 - 4 valve DOHC,"",3.0,6,Gas,C30A1,NSX,6 Cylinders 3.0L MFI DOHC,NSX T,3.0L 2977CC V6 FI VIN: C30A1,NSX,V6-2977 3.0L DOHC,NSX T,V6 - 3.0L 2977cc GAS MFI type C30A1 - 4 valve DOHC
Acura,NSX,V6 - 3.0L 2977cc GAS MFI type C30A1 - 4 valve DOHC,"",3.0,6,Gas,C30A1,NSX,6 Cylinders 3.0L MFI DOHC,NSX,3.0L 2977CC V6 FI VIN: C30A1,NSX,V6-2977 3.0L DOHC,NSX,V6 - 3.0L 2977cc GAS MFI type C30A1 - 4 valve DOHC
Acura,TL,L5 - 2.5L 2451cc GAS MFI type G25A4 - 4 valve SOHC,"",2.5,5,Gas,G25A4,TL,5 Cylinders 2.5L MFI SOHC,TL,2.5L 2451CC L5 FI VIN: G25A4,,,TL,L5 - 2.5L 2451cc GAS MFI type G25A4 - 4 valve SOHC
Advance Mixer,Glider,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve,"",12.7,6,Diesel,Series,Glider,6 Cylinders 12.7 MFI Turbo Dsl,Glider,12.7L 12686CC L6 Diesel Turbo VIN: Series 60,,,Glider,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve
Advance Mixer,S,6 Cylinders 10L  MFI Turbo Dsl,autozone,10.0,6,Diesel,,S,6 Cylinders 10L  MFI Turbo Dsl,,,,,,
Advance Mixer,S,6 Cylinders 10.8 MFI Turbo Dsl,autozone,10.8,6,Diesel,,S,6 Cylinders 10.8 MFI Turbo Dsl,,,,,,
Advance Mixer,S,6 Cylinders 10.3 FI Diesel,autozone,10.3,6,Diesel,,S,6 Cylinders 10.3 FI Diesel,,,,,,
Advance Mixer,S,6 Cylinders 10.5 Diesel,autozone,10.5,6,Diesel,,S,6 Cylinders 10.5 Diesel,,,,,,
Advance Mixer,S,10.8L 10834CC L6 Diesel Turbo VIN: M11,advance auto,10.8,6,Diesel,M11,,,S,10.8L 10834CC L6 Diesel Turbo VIN: M11,,,,
Advance Mixer,S,10.0L 10014CC L6 Diesel Turbo VIN: L10,advance auto,10.0,6,Diesel,L10,,,S,10.0L 10014CC L6 Diesel Turbo VIN: L10,,,,
Advance Mixer,S,10.5L 638CI 6 Diesel VIN: 3306,advance auto,10.5,6,Diesel,3306,,,S,10.5L 638CI 6 Diesel VIN: 3306,,,,
Advance Mixer,S,10.3L 629CI 6 Diesel VIN: 3176,advance auto,10.3,6,Diesel,3176,,,S,10.3L 629CI 6 Diesel VIN: 3176,,,,
Advance Mixer,S,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve,"",12.7,6,Diesel,Series,S,6 Cylinders 12.7 MFI Turbo Dsl,S,12.7L 12686CC L6 Diesel Turbo VIN: Series 60,,,S,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve
Alfa Romeo,164 Quadrifoglio,V6 - 3.0L 2959cc GAS MFI vin 3 - 4 valve DOHC,"",3.0,6,Gas,3,164 Quadrifoglio,6 Cylinders 3 3.0L MFI DOHC,164 Quadrifoglio,3.0L 2959CC V6 FI VIN: 3,164,V6-2959 3.0L,164 Quadrifoglio,V6 - 3.0L 2959cc GAS MFI vin 3 - 4 valve DOHC
Alfa Romeo,164 LS,V6 - 3.0L 2959cc GAS MFI vin 3 - 4 valve DOHC,"",3.0,6,Gas,3,164 LS,6 Cylinders 3 3.0L MFI DOHC,164 LS,3.0L 2959CC V6 FI VIN: 3,164,V6-2959 3.0L,164 LS,V6 - 3.0L 2959cc GAS MFI vin 3 - 4 valve DOHC
