Acura,TL Type-S,V6 - 3.5L 3471cc GAS MFI type J35A8 - 4 valve SOHC,"",3.5,6,Gas,J35A8,TL Type S,6 Cylinders 3.5L FI SOHC,TL Type-S,3.5L 3471CC V6 FI VIN: J35A8,TL,V6-3474 3.5L SOHC,TL Type-S,V6 - 3.5L 3471cc GAS MFI type J35A8 - 4 valve SOHC
Acura,MDX,V6 - 3.7L 3664cc GAS MFI type J37A1 - 4 valve SOHC,"",3.7,6,Gas,J37A1,MDX AWD,6 Cylinders 3.7L FI SOHC VTEC,MDX,3.7L 3664CC V6 FI VIN: J37A1,MDX,V6-3664 3.7L SOHC,MDX,V6 - 3.7L 3664cc GAS MFI type J37A1 - 4 valve SOHC
Acura,RDX,L4 - 2.3L 2300cc GAS MFI Turbocharged type K23A1 - 4 valve DOHC,"",2.3,4,Gas,K23A1,RDX AWD,4 Cylinders 2.3L Turbo DOHC VTEC,RDX,2.3L 2300CC L4 FI Turbo VIN: K23A1,RDX,4-2300 2.3L DOHC,RDX,L4 - 2.3L 2300cc GAS MFI Turbocharged type K23A1 - 4 valve DOHC
Acura,TSX,L4 - 2.4L 2351cc GAS MFI type K24A2 - 4 valve DOHC,"",2.4,4,Gas,K24A2,TSX,4 Cylinders 2.4L FI DOHC VTEC,TSX,2.4L 2354CC L4 FI VIN: K24A2,TSX,4-2354 2.4L DOHC,TSX,L4 - 2.4L 2351cc GAS MFI type K24A2 - 4 valve DOHC
Acura,RL,V6 - 3.5L 3471cc GAS MFI type J35A8 - 4 valve SOHC,"",3.5,6,Gas,J35A8,RL,6 Cylinders 3.5L FI SOHC,RL,3.5L 3471CC V6 FI VIN: J35A8,RL,V6-3474 3.5L SOHC,RL,V6 - 3.5L 3471cc GAS MFI type J35A8 - 4 valve SOHC
Acura,TL,V6 - 3.2L 3210cc GAS MFI type J32A3 - 4 valve SOHC,"",3.2,6,Gas,J32A3,TL,6 Cylinders 3.2L MFI SOHC VTEC,TL,3.2L 3210CC V6 FI VIN: J32A3,TL,V6-3210 3.2L SOHC,TL,V6 - 3.2L 3210cc GAS MFI type J32A3 - 4 valve SOHC
Alfa Romeo,8C Competizione,V8 - 4.7L 4691cc GAS MFI - 4 valve DOHC,"",4.7,8,Gas,,,,8C Competizione,4.7L 4691CC V8 FI,8C COMPETIZIONE,V8-4691 4.7L DOHC,8C Competizione,V8 - 4.7L 4691cc GAS MFI - 4 valve DOHC
American Lafrance,Metropolitan,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve,"",8.9,6,Diesel,ISL,Metropolitan,6 Cylinders 8.9L MFI Turbo Dsl,Metropolitan,8.9L 8900CC L6 Diesel Turbo VIN: ISL 8.9,,,Metropolitan,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve
American Lafrance,ALF Eagle,L6 - 14.0L 14063cc 858ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve,"",14.0,6,Diesel,Series,ALF Eagle,6 Cylinders 14L  MFI Turbo Dsl,ALF Eagle,14.0L 14063CC L6 Diesel Turbo VIN: Series 60,,,ALF Eagle,L6 - 14.0L 14063cc 858ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve
American Lafrance,ALF Eagle,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve,"",12.7,6,Diesel,Series,ALF Eagle,6 Cylinders 12.7 MFI Turbo Dsl,ALF Eagle,12.7L 12686CC L6 Diesel Turbo VIN: Series 60,,,ALF Eagle,L6 - 12.7L 12686cc 774ci DIESEL MFI Turbo/Aftercooled type Series 60 - 4 valve
American Lafrance,ALF Eagle,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve,"",8.9,6,Diesel,ISL,ALF Eagle,6 Cylinders 8.9L MFI Turbo Dsl,ALF Eagle,8.9L 8900CC L6 Diesel Turbo VIN: ISL 8.9,,,ALF Eagle,L6 - 8.9L 8849cc 540ci DIESEL MFI Turbocharged type ISL 8.9 - 4 valve
