Year,Make,Make,Model,Engine,No_Of_Cylinder,Size,Fuel_Type,No_Of_Cylinder,Fuel_Type
2015,BMW,BMW,535 Series,6-2993 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,BMW,BMW,550 Series,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,640 Series,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,650 Series,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,740 Series,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,740 Series,6-2993 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,BMW,BMW,750 Series,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,760 Series,12-5972 6.0L DOHC,12,6.0L,,12,
2015,BMW,BMW,ACTIVEHYBRID 3,6-2979 3.0L DOHC,6,3.0L,Hybrid,6,Hybrid
2015,BMW,BMW,ACTIVEHYBRID 5,6-2979 3.0L DOHC,6,3.0L,Hybrid,6,Hybrid
2015,BMW,BMW,ACTIVEHYBRID 7,6-2979 3.0L DOHC,6,3.0L,Hybrid,6,Hybrid
2015,BMW,BMW,ALPINA B6,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,ALPINA B7,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,M235i,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,M3,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,M4,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,M5,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,M6,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,X1,4-1997 2.0L DOHC,4,2.0L,,4,
2015,BMW,BMW,X1,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,X3,4-1997 2.0L DOHC,4,2.0L,,4,
2015,BMW,BMW,X3,4-2000 2.0L Dsl,4,2.0L,Diesel,4,Diesel
2015,BMW,BMW,X3,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,X4,4-1997 2.0L DOHC,4,2.0L,,4,
2015,BMW,BMW,X4,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,X5,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,X5,6-2993 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,BMW,BMW,X5,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,X6,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,X6,V8-4395 4.4L DOHC,8,4.4L,,8,
2015,BMW,BMW,Z4,4-1997 2.0L DOHC,4,2.0L,,4,
2015,BMW,BMW,Z4,6-2979 3.0L DOHC,6,3.0L,,6,
2015,BMW,BMW,i8,3-1499 1.5L DOHC,3,1.5L,,3,
2015,Bugatti,BUGATTI,VEYRON 16.4,16-7993 8.0L,16,8.0L,,16,
2015,Buick,BUICK,ENCLAVE,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Buick,BUICK,ENCORE,4-1364 1.4L DOHC,4,1.4L,,4,
2015,Buick,BUICK,LACROSSE,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Buick,BUICK,LACROSSE HYBRID,4-146  2.4L DOHC,4,2.4L,Hybrid,4,Hybrid
2015,Buick,BUICK,REGAL,4-146  2.4L DOHC,4,2.4L,,4,
2015,Buick,BUICK,REGAL,4-1998 2.0L DOHC,4,2.0L,,4,
2015,Buick,BUICK,REGAL HYBRID,4-146  2.4L DOHC,4,2.4L,Hybrid,4,Hybrid
2015,Buick,BUICK,VERANO,4-146  2.4L DOHC,4,2.4L,,4,
2015,Buick,BUICK,VERANO,4-1998 2.0L DOHC,4,2.0L,,4,
2015,Cadillac,CADILLAC,ATS,4-1998 2.0L DOHC,4,2.0L,,4,
2015,Cadillac,CADILLAC,ATS,4-2457 2.5L DOHC,4,2.5L,,4,
2015,Cadillac,CADILLAC,ATS,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Cadillac,CADILLAC,CTS,4-1998 2.0L DOHC,4,2.0L,,4,
2015,Cadillac,CADILLAC,CTS,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Cadillac,CADILLAC,CTS,V8-376  6.2L,8,6.2L,,8,
2015,Cadillac,CADILLAC,ELR,4-1398 1.4L DOHC,4,1.4L,,4,
2015,Cadillac,CADILLAC,ESCALADE,V8-378  6.2L,8,6.2L,,8,
2015,Cadillac,CADILLAC,ESCALADE ESV,V8-378  6.2L,8,6.2L,,8,
2015,Cadillac,CADILLAC,SRX,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Cadillac,CADILLAC,XTS,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,CAMARO,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,CAMARO,V8-376  6.2L,8,6.2L,,8,
2015,Chevrolet,CHEVROLET,CAMARO,V8-427  7.0L,8,7.0L,,8,
2015,Chevrolet,CHEVROLET,CAPRICE,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,CAPRICE,V8-364  6.0L,8,6.0L,,8,
2015,Chevrolet,CHEVROLET,CAPTIVA,4-146  2.4L DOHC,4,2.4L,,4,
2015,Chevrolet,CHEVROLET,CITY EXPRESS,4-2000 2.0L DOHC,4,2.0L,,4,
2015,Chevrolet,CHEVROLET,COLORADO,4-2457 2.5L DOHC,4,2.5L,,4,
2015,Chevrolet,CHEVROLET,COLORADO,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,CORVETTE,V8-376  6.2L,8,6.2L,,8,
2015,Chevrolet,CHEVROLET,CRUZE,4-1364 1.4L DOHC,4,1.4L,,4,
2015,Chevrolet,CHEVROLET,CRUZE,4-1796 1.8L DOHC,4,1.8L,,4,
2015,Chevrolet,CHEVROLET,CRUZE,4-1956 2.0L Dsl,4,2.0L,Diesel,4,Diesel
2015,Chevrolet,CHEVROLET,EQUINOX,4-146  2.4L DOHC,4,2.4L,,4,
2015,Chevrolet,CHEVROLET,EQUINOX,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,EXPRESS 2500,V8-294  4.8L,8,4.8L,,8,
2015,Chevrolet,CHEVROLET,EXPRESS 2500,V8-364  6.0L,8,6.0L,,8,
2015,Chevrolet,CHEVROLET,EXPRESS 2500,V8-403  6.6L Dsl,8,6.6L,Diesel,8,Diesel
2015,Chevrolet,CHEVROLET,EXPRESS 3500,V8-294  4.8L,8,4.8L,,8,
2015,Chevrolet,CHEVROLET,EXPRESS 3500,V8-364  6.0L,8,6.0L,,8,
2015,Chevrolet,CHEVROLET,EXPRESS 3500,V8-403  6.6L Dsl,8,6.6L,Diesel,8,Diesel
2015,Chevrolet,CHEVROLET,IMPALA,4-2457 2.5L DOHC,4,2.5L,,4,
2015,Chevrolet,CHEVROLET,IMPALA,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,IMPALA LIMITED,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,MALIBU,4-1998 2.0L DOHC,4,2.0L,,4,
2015,Chevrolet,CHEVROLET,MALIBU,4-2457 2.5L DOHC,4,2.5L,,4,
2015,Chevrolet,CHEVROLET,SILVERADO 1500 PU,V6-262  4.3L,6,4.3L,,6,
2015,Chevrolet,CHEVROLET,SILVERADO 1500 PU,V8-325  5.3L,8,5.3L,,8,
2015,Chevrolet,CHEVROLET,SILVERADO 1500 PU,V8-376  6.2L,8,6.2L,,8,
2015,Chevrolet,CHEVROLET,SILVERADO 2500HD PU,V8-364  6.0L,8,6.0L,,8,
2015,Chevrolet,CHEVROLET,SILVERADO 2500HD PU,V8-403  6.6L Dsl,8,6.6L,Diesel,8,Diesel
2015,Chevrolet,CHEVROLET,SILVERADO 3500 PU,V8-364  6.0L,8,6.0L,,8,
2015,Chevrolet,CHEVROLET,SILVERADO 3500 PU,V8-403  6.6L Dsl,8,6.6L,Diesel,8,Diesel
2015,Chevrolet,CHEVROLET,SONIC,4-1364 1.4L DOHC,4,1.4L,,4,
2015,Chevrolet,CHEVROLET,SONIC,4-1796 1.8L DOHC,4,1.8L,,4,
2015,Chevrolet,CHEVROLET,SPARK,4-1249 1.2L DOHC,4,1.2L,,4,
2015,Chevrolet,CHEVROLET,SS,V8-376  6.2L,8,6.2L,,8,
2015,Chevrolet,CHEVROLET,SUBURBAN 1500,V8-325  5.3L,8,5.3L,,8,
2015,Chevrolet,CHEVROLET,TAHOE,V8-325  5.3L,8,5.3L,,8,
2015,Chevrolet,CHEVROLET,TRAVERSE,V6-3564 3.6L DOHC,6,3.6L,,6,
2015,Chevrolet,CHEVROLET,TRAX,4-1364 1.4L DOHC,4,1.4L,,4,
2015,Chevrolet,CHEVROLET,VOLT,4-1398 1.4L DOHC,4,1.4L,,4,
2015,CHEVY-MEDIUM DUTY,CHEVY-MEDIUM DUTY,EXPRESS 4500,V8-364  6.0L,8,6.0L,,8,
2015,CHEVY-MEDIUM DUTY,CHEVY-MEDIUM DUTY,EXPRESS 4500,V8-403  6.6L Dsl,8,6.6L,Diesel,8,Diesel
2015,Chrysler,CHRYSLER,200 Series,4-2360 2.4L SOHC,4,2.4L,,4,
2015,Chrysler,CHRYSLER,200 Series,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Chrysler,CHRYSLER,300 Series,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Chrysler,CHRYSLER,300 Series,V8-345  5.7L,8,5.7L,,8,
2015,Chrysler,CHRYSLER,TOWN & COUNTRY VAN,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,CHALLENGER,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,CHALLENGER,V8-345  5.7L,8,5.7L,,8,
2015,Dodge,DODGE,CHALLENGER,V8-370  6.2L,8,6.2L,,8,
2015,Dodge,DODGE,CHALLENGER,V8-392  6.4L,8,6.4L,,8,
2015,Dodge,DODGE,CHARGER,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,CHARGER,V8-345  5.7L,8,5.7L,,8,
2015,Dodge,DODGE,CHARGER,V8-370  6.2L,8,6.2L,,8,
2015,Dodge,DODGE,CHARGER,V8-392  6.4L,8,6.4L,,8,
2015,Dodge,DODGE,DART,4-1368 1.4L SOHC,4,1.4L,,4,
2015,Dodge,DODGE,DART,4-1995 2.0L DOHC,4,2.0L,,4,
2015,Dodge,DODGE,DART,4-2360 2.4L SOHC,4,2.4L,,4,
2015,Dodge,DODGE,DURANGO,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,DURANGO,V8-345  5.7L,8,5.7L,,8,
2015,Dodge,DODGE,GRAND CARAVAN,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,JOURNEY,4-144  2.4L DOHC,4,2.4L,,4,
2015,Dodge,DODGE,JOURNEY,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Ram,DODGE,PROMASTER 1500,4-2999 3.0L Dsl,4,3.0L,Diesel,4,Diesel
2015,Ram,DODGE,PROMASTER 1500,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Ram,DODGE,PROMASTER 2500,4-2999 3.0L Dsl,4,3.0L,Diesel,4,Diesel
2015,Ram,DODGE,PROMASTER 2500,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Ram,DODGE,PROMASTER 3500,4-2999 3.0L Dsl,4,3.0L,Diesel,4,Diesel
2015,Ram,DODGE,PROMASTER 3500,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Ram,DODGE,PROMASTER CITY,4-2360  2.4L SOHC,4,2.4L,,4,
2015,Ram,DODGE,RAM 1500 PICKUP,V6-2987 3.0L Dsl,6,3.0L,Diesel,6,Diesel
2015,Ram,DODGE,RAM 1500 PICKUP,V6-3604 3.6L DOHC,6,3.6L,,6,
